DPPNNNNNNNBS 	CRBVVVSPPNNNNNBSZVVVVVSDPPNNNNNAS 
DDDPNBT 	CRBVTPPNNNNNNNBSPPZVVTDPNNNNNNNNBT 
DPNNNNNNBS 	CRBVVVSNNNNNNATPCRAVVTNBSPZVVVSDNNNNNNNAT 
DDDPPNBT 	CRBVTPNNBTCRBVTPNNNBSPCRBVVVVSPPNNNNNNNNNBSPZVVVVTNNAS 
DDPNNNNBT 	CRBVVVTPPNBTPZVVVVVTDPNNBT 
DPNNNNNBS 	CRBVSNNNNASCRAVVVVVSPPNNNNNATCRAVTPNNNNNBSZVSNNNNAT 
PPNNNNNNNNBT 	CRBVVTPPNNNNNNASPPCRAVSNBSPCRBVVSPNNNNNNNNBSPCRBVVVVVSNNBTZVVVVTDNNNNNNNNAS 
DDDNNNAS 	CRAVSPNNNNNNNNASCRAVVVVVSPNNASCRAVVVVVSPNNATPCRAVVTPNNNBSPPZVVVVSDDDNNNNNBT 
PNNBT 	CRBVTPNATCRAVVVVVTPPNNNNNNNNASZVVVTDDPNNNAT 
DDDPNAS 	CRAVVVVSPPNBSPPCRBVVVSPPNNBSPZVVSPPNNNNNNNNNBS 
DDDPPNNAT 	CRAVVTPNNNNNNBSCRBVVVVSPNNNNNBSCRBVVSPPNNNNASPCRAVVVSNNATPPZVVVVTDDPNNNNNNNNNAS 
DDDPPNNNBT 	CRBVVVTPNNNNNNBTPCRBVVVVTPNNNASPCRAVVVSPPNASPCRAVVSPPNNATPZVVVVVTPNNNNNNNNBT 
PNNNBT 	CRBVVVVTNNNNNNNASZVVTPPNNNNNNNNNBS 
PPNNNNNNAT 	CRAVVVVVTNNNASCRAVSPPNBSPCRBVVSPPNNNNASPCRAVVSNNNNATZVVVVTDDDPNNAS 
DDNNNNNNNNNBS 	CRBVVVSPPNNNNNNNATPCRAVVTNNNNNBSPZVVVVVSDDNNNNNBS 
PPNAS 	CRAVVVVSPPNNNNNBTPPZVVVVVSNNNNAT 
DDPNNNNNNNNBS 	CRBVVVVVSPPNNNNNNNNASPPCRAVSNNNNNNNNNBTPZVSDDDPPNNNNNNNAT 
NNNBT 	CRBVVVTPNNNNNNATCRAVVTNASPCRAVVSPNNNNNNNBTZVVTDDDPPNBS 
DDNNNNNNNBS 	CRBVVVVSPNNBTCRBVVTPPNNNNNASCRAVSPNNNNNNBSCRBVVVVVSPNBSPZVSDDDPPNNNNNNNAS 
PNNNNAS 	CRAVVVVVSPPNNNNNNNATPCRAVTPNNNNNATPZVVVVSDDPPNNNNAS 
PNNBT 	CRBVVVTPNNNNNNNNNBSPPCRBVVSPPNBTPCRBVVVVVTNNNNNNNNNBSPCRBVVVSPPNNNNNNNBTZVVVVTPPNNBS 
DDPPNNNNBS 	CRBVVVVVSNNNNNNNNNATZVVSDPPNNNNNNNAT 
DNNNBS 	CRBVVVVSPNNNNNNBTZVSDDDPNBT 
DPPNNNBT 	CRBVTPPNNNNNNNNNASPPCRAVSPNNNNNATCRAVTPNNNNNNATCRAVVVVTPNNNNBSPZVVVVVTNNNNNNNNBT 
DDPPNNNNNNAS 	CRAVVVSPPNNNNNATPPCRAVVTPPNNNBSCRBVVVVVSPPNNNASPPCRAVVVVSPPNNNNBSPZVVSPNNNNNBS 
DDDNNNNAT 	CRAVVVVTNNNNNNBTCRBVVVVTPNNNNASPPZVVVVTPPNNNNNBT 
DDDPNNNNAS 	CRAVVSNNNBSCRBVVVSNNNNNNNATPPCRAVVTNNNNNNNNATPZVSNNBS 
DPPNNNNNNNNAT 	CRAVTNATPCRAVVVTPNNBTPCRBVVTPPNNNNNNNNBTCRBVVVVTPNNNNNASZVVTDNNNNBT 
DDDNNNAT 	CRAVVTPPNNBSCRBVVVVSPNNNNNNNNNBTPPCRBVTNNNNNNNNNASPZVVVVVTDDPNNNAS 
DPNNNBS 	CRBVSNNNNNNNNNBSCRBVVVVVSPPNNNNNNNBSPPCRBVVVVVSPNNBTPZVSDPPNNNNNBT 
DPPNNNNNNNNNAS 	CRAVVVSPPNNNNNNBTCRBVVTNNNBSPPCRBVVVVVSPNNNNBTPZVVVVVSPPNBT 
DDPPNNNNNNBT 	CRBVVTNNNNNNNBTPZVVVVTDDPNNNNNNBT 
DNNNNAS 	CRAVVVVVSNNNNNNNNATPPCRAVVVTNNNNNNNASCRAVSNNNNNNNASPZVVVVVSDDDPPNNNNNBS 
NNNNBT 	CRBVVTPNNNNNATPCRAVVTPPNNNNNNNNNBSZVVVVTDPPNNNNNNBT 
PNNNNNNAS 	CRAVVVVSPNNNBSPPCRBVSPPNNNNNNNNNBTCRBVVVVVTPPNNBTZVVSDNAS 
DDDPNNBS 	CRBVVVVVSNNNNNNNBTPCRBVTPNNNNASPPCRAVVVVSPPNNNNNNNNNASPCRAVVVVSNNNNASPZVVVVSDDPPNNNNNBS 
DPNNNNNBS 	CRBVVVSNNNNNNATPPCRAVTPPNNNBTPPZVVSNNNAS 
NNNNBS 	CRBVVVVSPPNNNASPZVSDDPNNNNNNNNNBS 
DPPNNNNNNNNBT 	CRBVTNNNNNNNNNATCRAVVTNNNNNASZVVVVVTPPNNNNNNNNNBS 
PPNNNNNBS 	CRBVVSPPNNBTPPCRBVVVVVTPNNNNNNNBSPCRBVVVSNNNNNASPZVVVVSDPPNNNAT 
PPNNNNNNNNAS 	CRAVVVVSPNNASCRAVVSPNNNNNNNNATPPCRAVTPNNNNNNNNNATPPCRAVTNNNBSZVSDDDPNBT 
DDNNNNNNNAS 	CRAVSPNNNNNBSPCRBVVSPPNNNNNNNNASCRAVVVVSPPNNNNNNNNATZVVSDDNBS 
DDNNNNNNNNNBS 	CRBVVVVSPPNNNNNNNNBSPPZVVVVSPPNNNNNNNNNAT 
NNNNNNNNAS 	CRAVSPPNNNATPCRAVVTPPNNBTPCRBVVVTPPNNNNASPPCRAVVVVSPPNNNNNNNNATPZVVVVSDPPNNNNNNNNBS 
DDDPNNNNAT 	CRAVTPNNNBTCRBVVTPNBTPCRBVVVVVTPPNBTCRBVVTPNNNNNNNNNASPZVVVVVTDPNNNNNNAS 
DDNNNNAT 	CRAVVTPNNNNNNNATPPCRAVVVVVTNNNNNATPCRAVVVVTPNNNNNNNNNASPPZVVVVTNNNBS 
DDDNNNNNNNBT 	CRBVVVTPNNNNNNNASCRAVVVVSPPNNNNNNNNASPPCRAVVSPNNNBTPPCRBVVTPNATPPZVVTDPNNNNNNNAT 
NNNNBS 	CRBVVVVSPNNNNASPPCRAVVVVSNNNNATCRAVVVTPPNNNNASZVVVVSDNNNNNNNNNAT 
PNNNNNNAS 	CRAVVVSPPNBSZVVSDPPNNNNBT 
PNNNNBS 	CRBVVSPNNBSPPCRBVVSPNNNNNBTPPCRBVVTPNNNNNASPCRAVVSNNNNNNNNNASPZVVSDDPPNNBS 
DNNAS 	CRAVVVSNBTPZVVVVSDPNNBS 
DDPPNNNNNNNNAT 	CRAVTPNNNATPPCRAVVVTNNNNNNNNNBTCRBVVVVTNNNATPPZVVVVVTDPPNNNNNNNBT 
DDNNNNNNAS 	CRAVSPPNNNATPPZVVVVSDDDNNNNNNNBS 
DDDPNNNNNNNNAT 	CRAVVVTPNNNNNNNBSPPCRBVVVSNNNNNASZVVTDDDNNNNNNAS 
PPNAT 	CRAVVVVVTPNNNNNBTPZVVVVTDDNNAS 
DPNNNNNNBT 	CRBVVTPPNNNNNNASPZVTDNNNNNBS 
PNNNNNNNNNAS 	CRAVVVVSPNNBSZVVVVVSDDPPNNNNNNAT 
PPNNNNNNNNAS 	CRAVVSPNNBSCRBVVVVVSPNNNNNNBSPZVVVVVSNNNNNNNNBS 
NAT 	CRAVVVTNNNNNNBSPPCRBVVSNNNBTPZVVVVVTDDNNNNNNNNBT 
DDPPNNNNNNNNAT 	CRAVVVVVTPNNNNNNASPCRAVSNNNATCRAVVVTPNNASCRAVVVVVSNNNNNNNBTPZVVVVVTDPPNNNAT 
DPPNAT 	CRAVVVVTPPNNNNNNNNASCRAVVVVVSPNNNNNNATPCRAVTPNNBTPPZVTDDPNNNBS 
NNNNNNAS 	CRAVVVSNNNNNNNBTCRBVTPNNNNNNBTCRBVVVTNATPPZVSPPNNNAT 
NNNNNNNNAT 	CRAVVVTNNNNNNNASPCRAVVVVSNNNNNNNNBTPCRBVVVVVTPNNNNBSCRBVVVSPNNNNNNNNNBTZVVVTDDDNNNNNNNNNAS 
NAT 	CRAVVTPPNASPPZVTDPPNBS 
DDDPNNNNNNNNBS 	CRBVVVVVSPNBTPPCRBVVVVVTPPNNNNATPPCRAVVVTPPNASCRAVVVSPNNNNNNNNBTPPZVVVVVSNNNNNNBT 
PNNNBT 	CRBVVTPNNNNNNNNNBTCRBVVVVVTPPNNNNNBSZVVVVVTDDDPPNBS 
DDNNAT 	CRAVVVVVTNNNNATPPCRAVVTPPNNNNNNNNBTPCRBVVVTPPNNASPPZVVTNNNNNNNNBS 
DNNNNBT 	CRBVTPNNNNNNATPZVVVVVTPNNNNNNNNAS 
DDDPPNNBT 	CRBVVVVVTPNNNNNNNBTPPZVVVVTNNNNNBT 
PNBS 	CRBVVSNNNBTPCRBVVVTNNNNNBSPPZVVVSDDPNNNNNNBT 
PNNNNNNNAS 	CRAVSPPNNNNNNNNNBSPCRBVVVVVSPNNNNNNNNNASPCRAVVSNNATPPZVVVVSDDNNNNNAS 
DDDPNNNNNNAS 	CRAVVVVVSNNNNNNBSPPCRBVVVSPNNNNNNNNBTPPCRBVVTPNNNNNNNBTPPZVVVSDPNAT 
NNNNNBT 	CRBVVTPNNNNNNNNBSCRBVSNNASCRAVVVVVSPPNNNNNNBTCRBVVVVVTPNNNATZVVVVTDDPPNNNNNNNNBS 
DPPNNNNNNNNAS 	CRAVVVVSPNBSCRBVVVVVSNNNBTPCRBVVTPNBSZVVVVSPNNNBS 
PNAT 	CRAVVVTPNBTPZVVVTPPNNNNNNNNBS 
PNNNNNNNNBT 	CRBVVVVVTPPNNNNNBSPPCRBVVVVVSPPNNNNNNNASPPZVVTDDDPNNAS 
NNNNAS 	CRAVVVVVSNNNATCRAVVTPNASPPCRAVVVSPPNNNNNNNNNBTCRBVVVTPNBTZVVVVSDPNNNNNNNNNAS 
DNNNNNNNNNAS 	CRAVVVSNNASPPCRAVVVSPNNBSPPCRBVVSPPNNNNNATCRAVVVVTNNNATZVSDDDPNNNNNNNBT 
DDDPNNNNAS 	CRAVVSNNASCRAVVVVVSPPNASPCRAVSPNNNNASPCRAVVSPPNNNNBSZVVVSDDPNNNNNNNNBT 
PPNNBT 	CRBVVVVTPPNNBSPCRBVVVVSPNBTPCRBVVVTPPNNBTPPCRBVTPNNBSZVVTDDDPNNNAT 
PPNNNNNAT 	CRAVVTNNNNNNBTCRBVVTPNNNBSCRBVVVSNNNATZVTDDDNNNBS 
DDNNNNNNNBS 	CRBVVVSPPNBSPCRBVVSPNNNNBTPPCRBVVTNNNASPZVVVVVSPNNNNNNAT 
PNNNNNNNAT 	CRAVVTPNNNATPPCRAVTPPNATPCRAVTPPNNNATCRAVTNNASPPZVVVTDNBS 
DPNNNNNNAS 	CRAVSPNATPPCRAVVTPPNNNNASPZVSDDPNNNAS 
DDDPPNNNNAT 	CRAVTNNNNNNNNNBTZVVVVVTPNNNNNNNNBT 
DPPNNBT 	CRBVVTNNNNNNNNNBSPPCRBVVSNNNNNNNASCRAVSPPNNNNBSZVVTDDDNNNNBT 
DPPNAT 	CRAVVVTPPNNNNNNNNNBTPZVVVTDDPPNNNNNBS 
NNNAT 	CRAVVTPPNNNATPZVTDDPNNNBT 
DPNNNNNBT 	CRBVVVVTPPNNNASCRAVVVVSNNNNATPPZVTDPNNNNNNNNBT 
DDPNNNNNNBS 	CRBVVVSPNNNNNNBTCRBVVVTPPNNNASPPCRAVVVVVSPNNNNNNNNBSZVVVSDPPNNNBT 
PNNNAS 	CRAVVVVSNNNASPPCRAVVVSNATCRAVVVVVTNNNNNNNNNBTPPZVVVVVSDDDPNNNNNAS 
DNNNNNNNNNAT 	CRAVVTPPNNNNNNNATPCRAVVVTNNNNNNBTCRBVVVTPPNNNNNNNNBTZVVVTDPNNNNNNAS 
DDPPNNNNAS 	CRAVVVSNNBSCRBVVVVSNNNNNNNNNATPZVVVVSDDNNNNNNNNAS 
DDDPPNNNNNNNNNBT 	CRBVTPNNNATZVVVVTDDPPNNNNAS 
DDDPPNAS 	CRAVVVVVSNNNBSPCRBVVVSPNNNNNNNBTPCRBVTNNNATZVVVVSDDPPNNBS 
DDPNNNNAS 	CRAVVSPPNNNNNNNNNASPZVVVVVSDDDNNNNNNNAT 
PPNNNBS 	CRBVVVVSPPNNNNNNATCRAVVTPNNNNNNNASPCRAVVVVSPPNNNNNNNBSPPZVVVVVSDPPNNBS 
DDPNNAT 	CRAVVTPPNNNBTPPCRBVVTPPNNBTPZVVVTNNNNNAT 
DNBT 	CRBVTNNNNNNNNNBSPPZVTDDDPNNNAT 
DDNNNNNBS 	CRBVSPPNNNNNBSPZVVVSDDDPPNNNAS 
DPPNNBT 	CRBVVVVVTPPNNNNBSPCRBVVSNATPCRAVTPPNNNNNNNBTCRBVTPPNNNNNATZVVTDNBS 
DDPNNAT 	CRAVVVVVTPPNNNNNATPZVVVTDDDPNNNNNNNBS 
NNNAS 	CRAVVVVVSNATZVVVVSDDDPPNNNNAT 
DDDPNBT 	CRBVVTNNNNNNNASPPCRAVVSPPNNNNNNNNBSPPZVVVVVTPNNNNBS 
DDNNNNNBT 	CRBVVTPNATPPZVVTNNNBS 
DPNNNNNNNBS 	CRBVVVSPNNNNNNNNNASPCRAVVSPNNNNBSPPCRBVVVVVSPPNNNNNBTZVVSDDPPNNNNNNNNBT 
DNNBS 	CRBVVVSPPNNNNNNNNASPPCRAVVSPPNBSCRBVVVVSPPNNASCRAVVVSPPNNNNNNNNBTPPZVVVVSDDDPNNNBS 
DDPPNNNNNNNNBS 	CRBVVVSPNNNNNNBSCRBVVVVVSNNNNNNNNBTPPZVSDDPNNNNNAS 
DPNNNAS 	CRAVVVVSPPNNNNATPPCRAVVVTPPNNNNNNNBTZVSDDDPNNNNNBT 
PNNNNNNNNAS 	CRAVSPNNNNBTPPZVVVSDNNBT 
DNBS 	CRBVVVVVSPPNNNNNNNNNBSPPCRBVVVVSPPNASPPCRAVVVSNNNNNASPZVVVVSDDDPNNNNNAS 
DDPPNBS 	CRBVSPPNNNNNATCRAVTPPNNNNNNATPCRAVVVVVTNBTPCRBVVVVTPPNNNNNNATZVVSPPNNNNNNNNBT 
DPNNNNNNNNNBT 	CRBVVVVTPNNNNNNBSCRBVSPNNNNNNNATPPCRAVTNBSPPZVVVVTDDNNBT 
DDPPNNNNNNAT 	CRAVVVVTPPNNNNNNNNASPZVVVTPNAS 
NNNNNNNNNAT 	CRAVVTNNNNNBTPPCRBVVVTNATPCRAVVTNNNNNATPPCRAVVVVTPPNNATZVVVTDDDPNNNNAS 
PPNNNNNAT 	CRAVTPPNNNNNNNBTPPCRBVVTPPNNNBTCRBVVTPPNNNASPCRAVVSPPNNNATZVVTPPNNAS 
PNNBT 	CRBVVVVVTNBSPPZVVVVTDPNNNNNNNBS 
DDNNNNNNNNNBS 	CRBVVVVSNNNNNNBSPPZVSDDNNNAT 
DPNNNNNBS 	CRBVVVVSPPNNNNNNNNBSPZVVVVVSDDPNNNNNNNNAS 
DNBT 	CRBVTNNNNATCRAVVTPPNNNNNNNNBTZVVTDPNNNAT 
NNBT 	CRBVVTPNNNNNNNBSZVVVVTDNNNBT 
DDDNNNNNNNAS 	CRAVVSNNNNNNNNNASZVVVVVSDDNNNNAT 
DDPPNNNNAT 	CRAVVTPNNNNBTPCRBVVVVTNNNNBSPPCRBVVSPNNNNNBSZVVVTDNNNNNNNNBT 
DPPNNNAS 	CRAVVVVSPPNNNNNNATPPCRAVTPNNNBSCRBVVVSPPNATPCRAVVVTNNNNNNNNNASPZVVVSDPNNNNAS 
DNNNNNNNNNBS 	CRBVVVSNNNATPCRAVVTPPNNNNNNNATPCRAVVTPNNNNBTZVVVVVSPPNNNNNAS 
DDDNNNNAT 	CRAVVTPNATCRAVTNNASZVVVTDDDPNNNNBT 
DDDPPNNNNNNNNAT 	CRAVVVVTPNNNNNNNNBSPCRBVSPNNNNNNNNATPCRAVVTPPNNNASPPZVVVVTDDPNNNNNNNBS 
DDNNNNNAT 	CRAVVVTPNNNNNATCRAVVVTNNNNNNNNBSPCRBVVVSNNNBSPPZVVTDDNNNNNNNNNBT 
PNNNNNNNNAS 	CRAVVVVVSNNNNNATZVSDDPNNNNNNNNAT 
PNNNNNNNBS 	CRBVVVVSNNNNNNNNNBSPPCRBVVVSNATCRAVVVVTPNNATZVVSDDPPNNAS 
DDDNBS 	CRBVVVVSPPNNNNNASZVVVVVSDDPNNNNNNNNBT 
NNNNAT 	CRAVVTNNATCRAVVVTNNNNBSCRBVVVVSNNNNBSPPCRBVVVSPNNBSPZVTNNNNNNAT 
PNBT 	CRBVTPPNNNNNATPPCRAVVTNATPPCRAVVVVVTPNATPCRAVVVVVTPPNNNNNNASPZVVVVVTDNBT 
DPPNNNAT 	CRAVVVVVTPPNASPPCRAVVVVSPNBSPPCRBVSPPNNNNNNNASPPZVVVTDNNNNNNNNBS 
DDDPPNNNNNNAS 	CRAVVSPPNNATPCRAVVVVTNNNNNNASPCRAVVVVSNATPZVVVVSDDPNNNBT 
NNAT 	CRAVVVVTPPNNNNNNNNNBSPPCRBVVVVSNBSPPCRBVVVSPPNNNBTPZVVVVVTDDDPNNNNBS 
DDDPNNNNNNAS 	CRAVVVVVSNASPPZVSDNNAS 
DDNNNNNNBS 	CRBVSPNNNNNNNNATPZVVVSDPNNNNNNNAS 
DPPNNNBT 	CRBVVVTPNNNBTPPCRBVVVTPNNNNBSPPCRBVSPPNNNNNNNBTPZVVTDNNBT 
DDPPNNNNNNNNAS 	CRAVSPPNNNNNNNNNBTPPCRBVVVVTPPNNNNNNNNBSPZVSDPNNNNNNNNAS 
DDDNNNNNNNBS 	CRBVSNBTCRBVVVVTNBTPPCRBVVVTNNNNBSPPCRBVVVSNNNNNNASZVSDPPNNNNNNNBS 
